category,name,description,showroom,warehouse,source_row
Electrical Supplies,Angle Valve 1/2 x 1/2,YKE Angle Valve YKE-199B 1/2 x 1/2 One way,0.0,0.0,204
Electrical Supplies,Asbestos Wire #14,,11.0,0.0,205
Electrical Supplies,Asbestos Wire #16,,0.0,0.0,206
Electrical Supplies,AVR-20KVA,3Phase) (AVR-20KVA (3Phase),0.0,0.0,207
Electrical Supplies,AVR Cake Chiller 3000 KVA,,0.0,0.0,208
Electrical Supplies,Ball Valve,WOG) (Ball Valve (WOG),0.0,0.0,209
Electrical Supplies,Cable Tie 2.5mm x 100mm,,0.0,0.0,210
Electrical Supplies,CCTV Power Supply 16 Channel 30,CCTV Power Supply 16 Channel 30A,0.0,0.0,211
Electrical Supplies,Circuit Breaker 15 Amps,Royu CB 220V RCB 15A,0.0,0.0,212
Electrical Supplies,Circuit Breaker 15amp,Plug-in) (Circuit Breaker 15amp (Plug-in),0.0,0.0,213
Electrical Supplies,Circuit Breaker 20amp,Plug-in) (Circuit Breaker 20amp (Plug-in),0.0,0.0,214
Electrical Supplies,Circuit Breaker 30Amps,Plug-in) (Circuit Breaker 30 Amps(Plug-in),0.0,0.0,215
Electrical Supplies,Circuit Breaker 40 amps,Plug-i (Circuit Breaker 40 amps (Plug-in),0.0,0.0,216
Electrical Supplies,Circuit Breaker 60amps,Plug-in) (Circuit Breaker 60amps(Plug-in),0.0,0.0,217
Electrical Supplies,Conduit Clamp,"2Holes) (Conduit Clamp MTC-3036 3/4"" Maxten (2Holes)",0.0,0.0,218
Electrical Supplies,Conduit Pipe,20mm) 1/2 x 100m (Cortech Corrugated Flexible Conduit Pipe (20mm) 1,0.0,0.0,219
Electrical Supplies,DVR 8 Channel,,0.0,0.0,220
Electrical Supplies,Electric Hand Drill w/ Hammer,,0.0,0.0,221
Electrical Supplies,Electrical Tape,,0.0,0.0,222
Electrical Supplies,Electrical Tape,Tartan) (Electrical Tape (Tartan),0.0,0.0,223
Electrical Supplies,Emerald Elect'l Pipe,"20mm) (Emerald Elect'l Pipe (20mm) 1/2""",0.0,0.0,224
Electrical Supplies,Emerald Elect'l Pipe,"25mm) (Emerald Electrical Pipe (Red Orange) (25mm) 3/4""",0.0,0.0,225
Electrical Supplies,Emerald Orange P-Trap,"63mm) 2"" (Emerald Orange P-Trap (63mm) 2""",0.0,0.0,226
Electrical Supplies,Emerald PVC Pipe S'1000,"63mm) (Emerald PVC Pipe S'1000 (63mm) 2""x 3m",0.0,0.0,227
Electrical Supplies,Emerald PVC Solvent Cement 400c,Emerald PVC Solvent Cement 400cc,0.0,0.0,228
Electrical Supplies,Extension Wire,,0.0,0.0,229
Electrical Supplies,Female Terminal #14,,0.0,0.0,230
Electrical Supplies,"Fire Alarm Bell 6""",,0.0,0.0,231
Electrical Supplies,"Fire Alarm Bell 8""",Fire Alarm Bell 8inches,0.0,0.0,232
Electrical Supplies,Firefly Dual Lamp,LED) (Firefly Dual Lamp(LED),0.0,0.0,233
Electrical Supplies,Flat Cord #18,,0.0,0.0,234
Electrical Supplies,Flexible Adaptor # 1/2,,0.0,0.0,235
Electrical Supplies,Flexible Hose,50mtrs) #1/2 (Flexible Hose (50mtrs) #1/2,0.0,0.0,236
Electrical Supplies,G.I. Coupling 1/2,,15.0,0.0,237
Electrical Supplies,G.I. Elbow 1/2,,0.0,0.0,238
Electrical Supplies,"G.I. NIpple 1/2 12""",G.I. NIpple 1/2 12inches,0.0,0.0,239
Electrical Supplies,"G.I. Nipple 1/2 4""",G.I. Nipple 1/2 4inches,0.0,0.0,240
Electrical Supplies,G.I. Pipe S40 1/2,,0.0,0.0,241
Electrical Supplies,G.I. Tee 1/2,,0.0,0.0,242
Electrical Supplies,G.I. Union 1/2,,0.0,0.0,243
Electrical Supplies,Generator Circuit Breaker,,0.0,0.0,244
Electrical Supplies,Grinder,Angle Grinder,0.0,0.0,245
Electrical Supplies,Hose Clip 1/2,,0.0,0.0,246
Electrical Supplies,Hose CO2,Hose for CO2,0.0,0.0,247
Electrical Supplies,Hose End 1/2 x 3/8,,40.0,0.0,248
Electrical Supplies,Hose for 10lbs Dry Chem,,0.0,0.0,249
Electrical Supplies,Insolation varnish 1/2 ltr,,0.0,0.0,250
Electrical Supplies,Inverter Machine,Kawasaki Inverter Welding Machine 200amp,0.0,0.0,251
Electrical Supplies,Junction Box,Orange) (Junction Box (Orange) RJB1,0.0,0.0,252
Electrical Supplies,Junction Box Cover PVC,Junction Box Cover PVC Only-Orange RJB2,0.0,0.0,253
Electrical Supplies,KD65,Emergency Light KD65,0.0,0.0,254
Electrical Supplies,Ladder 4x3,multipurpose) (Ladder Multipurpose Alum Kruger 4x3 step 11ft,0.0,0.0,255
Electrical Supplies,Lava rock,2kg per pack,0.0,1.0,256
Electrical Supplies,Led Bulb 12 watts,,0.0,0.0,257
Electrical Supplies,LED Bulb 13watts,LED Bulb Downlight 13watts (Zigma),0.0,0.0,258
Electrical Supplies,Led Bulb 9 Watts,"Led Bulb 9 Watts, Daylight",0.0,0.0,259
Electrical Supplies,LED Driver,Indoor) (LED Driver Indoor,0.0,0.0,260
Electrical Supplies,LED Driver,Outdoor) (LED Driver (Outdoor),0.0,0.0,261
Electrical Supplies,LED Light for Signage,,2.0,0.0,262
Electrical Supplies,Led Light Round Warm Light,FF Led Downlight Basic Series EDL212612WW 12W,0.0,0.0,263
Electrical Supplies,LED Lights for Walk In Freezer,,0.0,0.0,264
Electrical Supplies,LED Rechargeable Emergency Lamp,LED Rechargeable Emergency Lamp EEL/FEL201L LED,0.0,0.0,265
Electrical Supplies,"Liquid Conduit Tight 1""",,0.0,0.0,266
Electrical Supplies,Liquidtight Flexible Conduit,Liquidtight Flexible Conduit 3/4in,0.0,0.0,267
Electrical Supplies,LPG Hose 1/2,,0.0,0.0,268
Electrical Supplies,Male Adapter,"25mm) 3/4"" (Male Adapter (25mm) 3/4""",0.0,0.0,269
Electrical Supplies,Male Plug,,0.0,0.0,270
Electrical Supplies,Male Plug Heavy Duty w/ Ground,,16.0,0.0,271
Electrical Supplies,Male Plug Heavy Duty w/o ground,,21.0,0.0,272
Electrical Supplies,Manual Call Point,Manual Push Point,0.0,0.0,273
Electrical Supplies,MCB 20 Amps,Miniature Circuit Breaker 20 Amps,0.0,0.0,274
Electrical Supplies,MCB 40 Amps,Miniature Circuit Breaker 40 Amps,0.0,0.0,275
Electrical Supplies,MCB Panel Board S' Phase 4 Bran,MCB Panel Board S' Phase 4 Branches,0.0,0.0,276
Electrical Supplies,MCB Panel Board S' Phase 8 Bran,MCB Panel Board S' Phase 8 Branches,0.0,0.0,277
Electrical Supplies,Metal Clamp # 1/2,Metal Clamp #1/2,0.0,0.0,278
